country,year,indicator,value,source
Denmark,2012,Trust in News,,Reuters Institute
United States,2012,Trust in News,,Reuters Institute
United Kingdom,2012,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2012,Trust in News,,Reuters Institute
Cyprus,2012,Trust in News,,Reuters Institute
Denmark,2013,Trust in News,,Reuters Institute
United States,2013,Trust in News,,Reuters Institute
United Kingdom,2013,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2013,Trust in News,,Reuters Institute
Cyprus,2013,Trust in News,,Reuters Institute
Denmark,2014,Trust in News,,Reuters Institute
United States,2014,Trust in News,,Reuters Institute
United Kingdom,2014,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2014,Trust in News,,Reuters Institute
Cyprus,2014,Trust in News,,Reuters Institute
Denmark,2015,Trust in News,,Reuters Institute
United States,2015,Trust in News,,Reuters Institute
United Kingdom,2015,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2015,Trust in News,,Reuters Institute
Cyprus,2015,Trust in News,,Reuters Institute
Denmark,2016,Trust in News,,Reuters Institute
United States,2016,Trust in News,,Reuters Institute
United Kingdom,2016,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2016,Trust in News,,Reuters Institute
Cyprus,2016,Trust in News,,Reuters Institute
Denmark,2017,Trust in News,,Reuters Institute
United States,2017,Trust in News,,Reuters Institute
United Kingdom,2017,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2017,Trust in News,,Reuters Institute
Cyprus,2017,Trust in News,,Reuters Institute
Denmark,2018,Trust in News,,Reuters Institute
United States,2018,Trust in News,,Reuters Institute
United Kingdom,2018,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2018,Trust in News,,Reuters Institute
Cyprus,2018,Trust in News,,Reuters Institute
Denmark,2019,Trust in News,,Reuters Institute
United States,2019,Trust in News,,Reuters Institute
United Kingdom,2019,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2019,Trust in News,,Reuters Institute
Cyprus,2019,Trust in News,,Reuters Institute
Denmark,2020,Trust in News,,Reuters Institute
United States,2020,Trust in News,,Reuters Institute
United Kingdom,2020,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2020,Trust in News,,Reuters Institute
Cyprus,2020,Trust in News,,Reuters Institute
Denmark,2021,Trust in News,,Reuters Institute
United States,2021,Trust in News,,Reuters Institute
United Kingdom,2021,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2021,Trust in News,,Reuters Institute
Cyprus,2021,Trust in News,,Reuters Institute
Denmark,2022,Trust in News,,Reuters Institute
United States,2022,Trust in News,,Reuters Institute
United Kingdom,2022,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2022,Trust in News,,Reuters Institute
Cyprus,2022,Trust in News,,Reuters Institute
Denmark,2023,Trust in News,,Reuters Institute
United States,2023,Trust in News,,Reuters Institute
United Kingdom,2023,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2023,Trust in News,,Reuters Institute
Cyprus,2023,Trust in News,,Reuters Institute
Denmark,2024,Trust in News,,Reuters Institute
United States,2024,Trust in News,,Reuters Institute
United Kingdom,2024,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2024,Trust in News,,Reuters Institute
Cyprus,2024,Trust in News,,Reuters Institute
Denmark,2025,Trust in News,,Reuters Institute
United States,2025,Trust in News,,Reuters Institute
United Kingdom,2025,Trust in News,,Reuters Institute
Bosnia and Herzegovina,2025,Trust in News,,Reuters Institute
Cyprus,2025,Trust in News,,Reuters Institute
