country,year,indicator,value,source
United Kingdom,2011,Internet Freedom,75.0,Freedom House
United Kingdom,2012,Internet Freedom,75.0,Freedom House
United Kingdom,2013,Internet Freedom,76.0,Freedom House
United Kingdom,2014,Internet Freedom,76.0,Freedom House
United Kingdom,2015,Internet Freedom,76.0,Freedom House
United Kingdom,2016,Internet Freedom,77.0,Freedom House
United Kingdom,2017,Internet Freedom,76.0,Freedom House
United Kingdom,2018,Internet Freedom,77.0,Freedom House
United Kingdom,2019,Internet Freedom,77.0,Freedom House
United Kingdom,2020,Internet Freedom,78.0,Freedom House
United Kingdom,2021,Internet Freedom,78.0,Freedom House
United Kingdom,2022,Internet Freedom,79.0,Freedom House
United Kingdom,2023,Internet Freedom,79.0,Freedom House
United Kingdom,2024,Internet Freedom,78.0,Freedom House
United Kingdom,2025,Internet Freedom,24.0,Freedom House
United States,2011,Internet Freedom,87.0,Freedom House
United States,2012,Internet Freedom,88.0,Freedom House
United States,2013,Internet Freedom,83.0,Freedom House
United States,2014,Internet Freedom,81.0,Freedom House
United States,2015,Internet Freedom,81.0,Freedom House
United States,2016,Internet Freedom,82.0,Freedom House
United States,2017,Internet Freedom,79.0,Freedom House
United States,2018,Internet Freedom,78.0,Freedom House
United States,2019,Internet Freedom,77.0,Freedom House
United States,2020,Internet Freedom,76.0,Freedom House
United States,2021,Internet Freedom,75.0,Freedom House
United States,2022,Internet Freedom,76.0,Freedom House
United States,2023,Internet Freedom,76.0,Freedom House
United States,2024,Internet Freedom,76.0,Freedom House
United States,2025,Internet Freedom,27.0,Freedom House
