country,year,indicator,value,source
Denmark,2015,Trust in News,57.0,Reuters Institute
United States,2015,Trust in News,32.0,Reuters Institute
United Kingdom,2015,Trust in News,51.0,Reuters Institute
Denmark,2016,Trust in News,54.0,Reuters Institute
United States,2016,Trust in News,33.0,Reuters Institute
United Kingdom,2016,Trust in News,50.0,Reuters Institute
Denmark,2017,Trust in News,50.0,Reuters Institute
United States,2017,Trust in News,38.0,Reuters Institute
United Kingdom,2017,Trust in News,43.0,Reuters Institute
Denmark,2018,Trust in News,56.0,Reuters Institute
United States,2018,Trust in News,34.0,Reuters Institute
United Kingdom,2018,Trust in News,42.0,Reuters Institute
Denmark,2019,Trust in News,57.0,Reuters Institute
United States,2019,Trust in News,32.0,Reuters Institute
United Kingdom,2019,Trust in News,40.0,Reuters Institute
Denmark,2020,Trust in News,56.0,Reuters Institute
United States,2020,Trust in News,30.0,Reuters Institute
United Kingdom,2020,Trust in News,35.0,Reuters Institute
Denmark,2021,Trust in News,59.0,Reuters Institute
United States,2021,Trust in News,29.0,Reuters Institute
United Kingdom,2021,Trust in News,36.0,Reuters Institute
Denmark,2022,Trust in News,58.0,Reuters Institute
United States,2022,Trust in News,26.0,Reuters Institute
United Kingdom,2022,Trust in News,34.0,Reuters Institute
Denmark,2023,Trust in News,57.0,Reuters Institute
United States,2023,Trust in News,32.0,Reuters Institute
United Kingdom,2023,Trust in News,33.0,Reuters Institute
Denmark,2024,Trust in News,57.0,Reuters Institute
United States,2024,Trust in News,32.0,Reuters Institute
United Kingdom,2024,Trust in News,36.0,Reuters Institute
Denmark,2025,Trust in News,56.0,Reuters Institute
United States,2025,Trust in News,30.0,Reuters Institute
United Kingdom,2025,Trust in News,35.0,Reuters Institute
