country,year,indicator,value,source
Bosnia and Herzegovina,2010,Governance Quality,55.068748,WGI
Cyprus,2010,Governance Quality,78.98844439999999,WGI
Denmark,2010,Governance Quality,85.8853352,WGI
United Kingdom,2010,Governance Quality,76.0365679,WGI
United States,2010,Governance Quality,76.4226565,WGI
Bosnia and Herzegovina,2011,Governance Quality,54.4509441,WGI
Cyprus,2011,Governance Quality,79.287685,WGI
Denmark,2011,Governance Quality,85.62524739999999,WGI
United Kingdom,2011,Governance Quality,73.2702147,WGI
United States,2011,Governance Quality,76.5625941,WGI
Bosnia and Herzegovina,2012,Governance Quality,55.8057131,WGI
Cyprus,2012,Governance Quality,79.4455839,WGI
Denmark,2012,Governance Quality,83.7172224,WGI
United Kingdom,2012,Governance Quality,73.8956575,WGI
United States,2012,Governance Quality,76.4977694,WGI
Bosnia and Herzegovina,2013,Governance Quality,58.148534899999994,WGI
Cyprus,2013,Governance Quality,78.13100779999999,WGI
Denmark,2013,Governance Quality,83.32398169999999,WGI
United Kingdom,2013,Governance Quality,73.7518389,WGI
United States,2013,Governance Quality,75.7935684,WGI
Bosnia and Herzegovina,2014,Governance Quality,64.8606336,WGI
Cyprus,2014,Governance Quality,77.9047176,WGI
Denmark,2014,Governance Quality,85.2102567,WGI
United Kingdom,2014,Governance Quality,75.180368,WGI
United States,2014,Governance Quality,77.3070017,WGI
Bosnia and Herzegovina,2015,Governance Quality,61.5368736,WGI
Cyprus,2015,Governance Quality,77.5634733,WGI
Denmark,2015,Governance Quality,83.3159021,WGI
United Kingdom,2015,Governance Quality,75.0691258,WGI
United States,2015,Governance Quality,77.2686791,WGI
Bosnia and Herzegovina,2016,Governance Quality,59.5572972,WGI
Cyprus,2016,Governance Quality,78.9998839,WGI
Denmark,2016,Governance Quality,81.8158814,WGI
United Kingdom,2016,Governance Quality,73.5786913,WGI
United States,2016,Governance Quality,71.49570969999999,WGI
Bosnia and Herzegovina,2017,Governance Quality,60.5803364,WGI
Cyprus,2017,Governance Quality,77.40415159999999,WGI
Denmark,2017,Governance Quality,81.5224092,WGI
United Kingdom,2017,Governance Quality,73.42161399999999,WGI
United States,2017,Governance Quality,67.7755797,WGI
Bosnia and Herzegovina,2018,Governance Quality,60.949003499999996,WGI
Cyprus,2018,Governance Quality,77.1017013,WGI
Denmark,2018,Governance Quality,83.00735379999999,WGI
United Kingdom,2018,Governance Quality,70.72153229999999,WGI
United States,2018,Governance Quality,70.8565316,WGI
Bosnia and Herzegovina,2019,Governance Quality,60.6128666,WGI
Cyprus,2019,Governance Quality,78.5331873,WGI
Denmark,2019,Governance Quality,81.242189,WGI
United Kingdom,2019,Governance Quality,75.59929939999999,WGI
United States,2019,Governance Quality,66.8276892,WGI
Bosnia and Herzegovina,2020,Governance Quality,61.298956,WGI
Cyprus,2020,Governance Quality,73.6462217,WGI
Denmark,2020,Governance Quality,80.7263059,WGI
United Kingdom,2020,Governance Quality,74.6097896,WGI
United States,2020,Governance Quality,63.386694799999994,WGI
Bosnia and Herzegovina,2021,Governance Quality,60.5871127,WGI
Cyprus,2021,Governance Quality,74.0794418,WGI
Denmark,2021,Governance Quality,80.25911219999999,WGI
United Kingdom,2021,Governance Quality,73.3482195,WGI
United States,2021,Governance Quality,63.735279,WGI
Bosnia and Herzegovina,2022,Governance Quality,61.657193,WGI
Cyprus,2022,Governance Quality,72.40480099999999,WGI
Denmark,2022,Governance Quality,80.2709531,WGI
United Kingdom,2022,Governance Quality,72.1751474,WGI
United States,2022,Governance Quality,63.1167764,WGI
Bosnia and Herzegovina,2023,Governance Quality,62.4793902,WGI
Cyprus,2023,Governance Quality,72.6175899,WGI
Denmark,2023,Governance Quality,81.2779733,WGI
United Kingdom,2023,Governance Quality,72.1862761,WGI
United States,2023,Governance Quality,62.5953145,WGI
Bosnia and Herzegovina,2024,Governance Quality,57.3354627,WGI
Cyprus,2024,Governance Quality,72.4855218,WGI
Denmark,2024,Governance Quality,79.0280276,WGI
United Kingdom,2024,Governance Quality,70.2964669,WGI
United States,2024,Governance Quality,64.2697196,WGI
