country,year,indicator,value,source
Bosnia and Herzegovina,2010,Internet Penetration,42.75,World Bank
Bosnia and Herzegovina,2011,Internet Penetration,43.89,World Bank
Bosnia and Herzegovina,2012,Internet Penetration,45.06,World Bank
Bosnia and Herzegovina,2013,Internet Penetration,48.52,World Bank
Bosnia and Herzegovina,2014,Internet Penetration,49.92,World Bank
Bosnia and Herzegovina,2015,Internet Penetration,52.6,World Bank
Bosnia and Herzegovina,2016,Internet Penetration,60.26,World Bank
Bosnia and Herzegovina,2017,Internet Penetration,64.89,World Bank
Bosnia and Herzegovina,2018,Internet Penetration,70.12,World Bank
Bosnia and Herzegovina,2019,Internet Penetration,69.95,World Bank
Bosnia and Herzegovina,2020,Internet Penetration,73.21,World Bank
Bosnia and Herzegovina,2021,Internet Penetration,75.68,World Bank
Bosnia and Herzegovina,2022,Internet Penetration,78.85,World Bank
Bosnia and Herzegovina,2023,Internet Penetration,83.38,World Bank
Bosnia and Herzegovina,2024,Internet Penetration,86.1,World Bank
Cyprus,2010,Internet Penetration,52.99,World Bank
Cyprus,2011,Internet Penetration,56.86,World Bank
Cyprus,2012,Internet Penetration,60.69,World Bank
Cyprus,2013,Internet Penetration,65.45,World Bank
Cyprus,2014,Internet Penetration,69.33,World Bank
Cyprus,2015,Internet Penetration,71.72,World Bank
Cyprus,2016,Internet Penetration,75.9,World Bank
Cyprus,2017,Internet Penetration,80.74,World Bank
Cyprus,2018,Internet Penetration,84.43,World Bank
Cyprus,2019,Internet Penetration,86.06,World Bank
Cyprus,2020,Internet Penetration,90.8,World Bank
Cyprus,2021,Internet Penetration,90.76,World Bank
Cyprus,2022,Internet Penetration,89.6,World Bank
Cyprus,2023,Internet Penetration,91.22,World Bank
Denmark,2010,Internet Penetration,88.72,World Bank
Denmark,2011,Internet Penetration,89.81,World Bank
Denmark,2012,Internet Penetration,92.26,World Bank
Denmark,2013,Internet Penetration,94.63,World Bank
Denmark,2014,Internet Penetration,95.99,World Bank
Denmark,2015,Internet Penetration,96.33,World Bank
Denmark,2016,Internet Penetration,96.97,World Bank
Denmark,2017,Internet Penetration,97.1,World Bank
Denmark,2018,Internet Penetration,97.32,World Bank
Denmark,2019,Internet Penetration,98.05,World Bank
Denmark,2020,Internet Penetration,96.55,World Bank
Denmark,2021,Internet Penetration,98.87,World Bank
Denmark,2022,Internet Penetration,97.86,World Bank
Denmark,2023,Internet Penetration,98.78,World Bank
Denmark,2024,Internet Penetration,99.77,World Bank
United Kingdom,2010,Internet Penetration,85.0,World Bank
United Kingdom,2011,Internet Penetration,85.38,World Bank
United Kingdom,2012,Internet Penetration,87.48,World Bank
United Kingdom,2013,Internet Penetration,89.84,World Bank
United Kingdom,2014,Internet Penetration,91.61,World Bank
United Kingdom,2015,Internet Penetration,92.0,World Bank
United Kingdom,2016,Internet Penetration,94.78,World Bank
United Kingdom,2017,Internet Penetration,90.42,World Bank
United Kingdom,2018,Internet Penetration,90.69,World Bank
United Kingdom,2019,Internet Penetration,92.52,World Bank
United Kingdom,2020,Internet Penetration,94.82,World Bank
United Kingdom,2021,Internet Penetration,96.2,World Bank
United Kingdom,2022,Internet Penetration,96.3,World Bank
United Kingdom,2023,Internet Penetration,96.3,World Bank
United States,2010,Internet Penetration,71.69,World Bank
United States,2011,Internet Penetration,69.73,World Bank
United States,2012,Internet Penetration,74.7,World Bank
United States,2013,Internet Penetration,71.4,World Bank
United States,2014,Internet Penetration,73.0,World Bank
United States,2015,Internet Penetration,74.55,World Bank
United States,2016,Internet Penetration,85.54,World Bank
United States,2017,Internet Penetration,87.27,World Bank
United States,2018,Internet Penetration,88.5,World Bank
United States,2019,Internet Penetration,89.43,World Bank
United States,2020,Internet Penetration,90.34,World Bank
United States,2021,Internet Penetration,91.27,World Bank
United States,2022,Internet Penetration,92.2,World Bank
United States,2023,Internet Penetration,93.14,World Bank
