country,year,Liberal Democracy,Polarization,Governance Quality,Internet Freedom,Internet Penetration,Trust in News,Election Period,Covid Period
Bosnia and Herzegovina,2010,0.378,0.416,55.068748,,42.75,,1.0,0.0
Bosnia and Herzegovina,2011,0.381,0.416,54.4509441,,43.89,,0.0,0.0
Bosnia and Herzegovina,2012,0.38,0.418,55.8057131,,45.06,,0.0,0.0
Bosnia and Herzegovina,2013,0.376,0.403,58.148534899999994,,48.52,,0.0,0.0
Bosnia and Herzegovina,2014,0.375,0.397,64.8606336,,49.92,,1.0,0.0
Bosnia and Herzegovina,2015,0.369,0.345,61.5368736,,52.6,,0.0,0.0
Bosnia and Herzegovina,2016,0.364,0.362,59.5572972,,60.26,,0.0,0.0
Bosnia and Herzegovina,2017,0.364,0.369,60.5803364,,64.89,,0.0,0.0
Bosnia and Herzegovina,2018,0.347,0.343,60.9490035,,70.12,,1.0,0.0
Bosnia and Herzegovina,2019,0.347,0.36,60.6128666,,69.95,,0.0,1.0
Bosnia and Herzegovina,2020,0.34,0.332,61.298956,,73.21,,0.0,1.0
Bosnia and Herzegovina,2021,0.335,0.326,60.5871127,,75.68,,0.0,1.0
Bosnia and Herzegovina,2022,0.344,0.334,61.657193,,78.85,,1.0,1.0
Bosnia and Herzegovina,2023,0.337,0.344,62.4793902,,83.38,,0.0,1.0
Bosnia and Herzegovina,2024,0.342,0.343,57.3354627,,86.1,,0.0,0.0
Bosnia and Herzegovina,2025,,,,,,,0.0,0.0
Cyprus,2010,0.736,0.753,78.98844439999999,,52.99,,0.0,0.0
Cyprus,2011,0.735,0.749,79.287685,,56.86,,1.0,0.0
Cyprus,2012,0.733,0.752,79.4455839,,60.69,,0.0,0.0
Cyprus,2013,0.733,0.729,78.13100779999999,,65.45,,1.0,0.0
Cyprus,2014,0.732,0.729,77.9047176,,69.33,,0.0,0.0
Cyprus,2015,0.74,0.739,77.5634733,,71.72,,0.0,0.0
Cyprus,2016,0.739,0.736,78.9998839,,75.9,,1.0,0.0
Cyprus,2017,0.733,0.707,77.40415159999999,,80.74,,0.0,0.0
Cyprus,2018,0.723,0.722,77.1017013,,84.43,,1.0,0.0
Cyprus,2019,0.715,0.713,78.5331873,,86.06,,0.0,1.0
Cyprus,2020,0.693,0.634,73.6462217,,90.8,,0.0,1.0
Cyprus,2021,0.657,0.659,74.0794418,,90.76,,1.0,1.0
Cyprus,2022,0.651,0.645,72.40480099999999,,89.6,,0.0,1.0
Cyprus,2023,0.645,0.655,72.6175899,,91.22,,1.0,1.0
Cyprus,2024,0.651,0.645,72.4855218,,,,0.0,0.0
Cyprus,2025,,,,,,,0.0,0.0
Denmark,2010,0.897,0.874,85.8853352,,88.72,,0.0,0.0
Denmark,2011,0.896,0.884,85.62524739999999,,89.81,,1.0,0.0
Denmark,2012,0.897,0.884,83.7172224,,92.26,,0.0,0.0
